Q991	1	11625	Fyodor_Dostoyevsky	74	0.3	1	[1;2;3;4;100;15;17;170;3000]	[]	[1]	[1]	[1;2]
Q42	1	8091	Douglas_Adams	85	0.3	1	[1;2;4;3;5;6;42;9;10;12]	[]	[1]	[1;2]	[1;2;4]
Q23685	2	15992	Jimmy_Carter	129	0.21363636363636362	1	[1;2;3;7;23;8;150]	[]	[]	[1;2]	[1;2;3]
Q7351	2	44887	Robert_Schumann	109	0.21363636363636362	1	[1;2;4;3;5;7;6;9;16;17]	[]	[1]	[1]	[1]
Q34969	3	3986	Benjamin_Franklin	38	0.16818181818181818	1	[1;2;3;4;17;5;6;7;13;10;100]	[]	[1]	[1;2]	[1;2]
Q33866	6	30535	Theodore_Roosevelt	93	0.03636363636363636	1	[1;2;4;3;5;18;1000;7;8;12;20;150;44;56;200]	[]	[]	[1]	[1;2]
Q2038	3	37998	Fran%C3%A7ois_Mitterrand	96	0.16818181818181818	1	[2;1;3;4;7;110;60;800000;30000]	[]	[]	[2;1]	[2;1;3]
Q192069	1	10258	Enid_Blyton	26	0.3	1	[5;7;4;2;1;3;6;10000;8;12;6000;50]	[]	[5]	[5]	[5;7;4]
Q11758	3	18100	L._L._Zamenhof	91	0.16818181818181818	1	[1]	[1]	[1]	[1]	[1]
Q1203	2	15852	John_Lennon	76	0.21363636363636362	1	[1;2;100;10;3;4;14;25;5;8;16;14000000]	[]	[1]	[1;2]	[1;2;100]
Q9235	1	12598	Georg_Wilhelm_Friedrich_Hegel	78	0.3	1	[3;1;2;258]	[]	[3]	[3;1;2]	[3;1;2]
Q9021	1	19848	Max_Planck	51	0.3	1	[1;2;4]	[]	[]	[1]	[1;2;4]
Q25351	1	85762	Theodor_Mommsen	126	0.3	1	[1;2;3;5;16]	[]	[1]	[1]	[1;2;3;5;16]
Q11256	2	38301	Fidel_Castro	122	0.21363636363636362	1	[1;2;3;4;19;20000;5;6;14;15;10000;1200;200]	[]	[]	[1]	[1;2]
Q9749	21	1932594	Emperor_Suzong_of_Tang	141	0.004545454545454545	1	[1;762;756;711;746;747;760;2;3;736;737;738;757]	[]	[]	[1]	[1;762]
Q1067	3	8169	Dante_Alighieri	12	0.16818181818181818	1	[1;3;2;9;76;18]	[]	[1]	[1]	[1;3]
Q5809	1	13623554	Che_Guevara	140	0.3	1	[1;2;5;6;100;3;100000;4;12;1000000;22]	[]	[1]	[1;2]	[1;2]
Q9204	1	5813	C._S._Lewis	53	0.3	1	[1;2;4;7;9]	[]	[1;2]	[1;2]	[1;2]
Q5593	4	24176	Pablo_Picasso	75	0.10909090909090909	1	[1;2;3;4]	[]	[1;2]	[1;2]	[1;2]
Q2492	1	16634	Konrad_Adenauer	48	0.3	2	[1;2;7;3;4;5]	[]	[1]	[1;2]	[1;2;7]
