Q2594607,Rogvolod_Vseslavich,3
Q1397516,Wichmann_the_Elder,4
Q18221696,Michel_Besnier,3
Q5721098,Henry_Fane_of_Brympton,4
Q446344,Janina_Korowicka,3
Q1078688,Christian_of_Thuringia,2
Q2745179,Ednyfed_Fychan,13
Q7180681,Pharamond_II,0
Q847745,Lu_Lun,0
Q9889,Emperor_Xizong_of_Tang,4
Q60610,Prince_Adalbert_of_Bavaria_(1828–1875),5
Q3487816,Kunigunde_of_Poland,5
Q2788799,Catherine_of_Vendôme,7
Q1417640,War_Admiral,0
Q7492,Emperor_Xiaozong_of_Song,5
Q4013965,Virginia_Bourbon_del_Monte,7
Q925205,Guy_I_de_la_Roche,6
Q4667238,Empress_Dowager_Xiaoding,1
Q237761,Landgravine_Elisabeth_Amalie_of_Hesse-Darmstadt,11
Q564282,King_Huiwen_of_Qin,11
Q7742,Louis_XIV_of_France,19
Q312325,Ferdinand_I_of_the_Two_Sicilies,17
Q262822,Sandrine_Kiberlain,1
Q232101,Rachael_Leigh_Cook,2
Q193368,Ted_Turner,5
Q230512,Phyllis_Diller,6
Q816568,Ben_Miller,3
Q574033,Shevah_Weiss,2
Q262490,Kathy_Ireland,3
Q4355545,Ali_Mazrui,5
Q982225,Eamon_Gilmore,3
Q863316,Fred_DeLuca,1
Q7174275,Peter_Goin,2
Q255714,Ana_Hickmann,1
Q324539,Sam_Sheppard,1
Q3288389,Tracie_Savage,1
Q454245,Alan_Kelly_(politician),2
Q1894411,Marcus_Wallenberg_(born_1956),8
Q1301476,Sunil_Mittal,3
Q13575319,William_Jasper_Kerr,6
Q2442673,Tony_Killeen,5
Q4709994,Albert_D._Bosson,2
Q6779107,Mary_Bradbury,11
Q7072169,O._S._Manian,2
Q7383878,Ryan_Bennett_(sportscaster),4
Q5524863,Gary_Cohen,5
Q12958427,Mihael_Zmajlović,2
Q4719471,Alexander_MacEwen,5
Q4755023,Andrea_Coote,3
Q5446263,Fiach_Mac_Conghail,2
Q15052269,Benjamin_B._Wagner,3
Q5085069,Charlie_Jacobs,3
Q121033,Urs_Schwarzenbach,2
Q3115393,Grant_Haskin,1
Q3385801,Pierre_Lassonde,3
Q6733663,Mahdi_Al_Tajir,5
Q19663057,Zhu_Xingliang,1
