Q22686,Donald_Trump,5,5,101,90304585
Q187447,Pablo_Escobar,2,NULL,60,28277327
Q76,Barack_Obama,2,2,303,22505690
Q432473,Melania_Trump,1,NULL,20,22054707
Q9682,Elizabeth_II,4,NULL,190,21318266
Q5383,David_Bowie,2,NULL,344,21075818
Q6294,Hillary_Clinton,1,1,135,20873906
Q36107,Muhammad_Ali,4,10,89,19213444
Q359442,Bernie_Sanders,NULL,4,62,18686701
Q108941,Carrie_Fisher,1,1,106,17923059
Q11571,Cristiano_Ronaldo,1,1,65,16898445
Q17714,Stephen_Hawking,3,NULL,122,16041763
Q10738,Dwayne_Johnson,1,2,80,16038427
Q19837,Steve_Jobs,4,NULL,95,15901998
Q239411,Ivanka_Trump,3,3,39,15455893
Q23215,Adele,NULL,1,83,15188442
Q6078,Dr._Dre,1,NULL,151,13895995
Q352159,Stephen_Curry,NULL,2,23,13477021
Q186304,Kim_Kardashian,NULL,2,71,13261807
Q9960,Ronald_Reagan,4,NULL,262,12996216
Q1124,Bill_Clinton,1,1,238,12548528
Q37175,Johnny_Depp,2,2,144,12497988
Q5608,Eminem,NULL,1,229,12482570
Q173637,Ice_Cube,1,NULL,149,12309206
Q2831,Michael_Jackson,3,NULL,373,12293971
Q15935,Kanye_West,NULL,2,184,11845824
Q41421,Michael_Jordan,4,NULL,56,11701382
Q36159,LeBron_James,3,NULL,46,11260835
Q13909,Angelina_Jolie,6,6,173,11210255
Q242351,Ivana_Trump,3,NULL,37,11016056
Q1001,Mahatma_Gandhi,4,NULL,176,10942373
Q2685,Arnold_Schwarzenegger,5,5,147,10876514
Q365144,Caitlyn_Jenner,4,NULL,58,10714291
Q937,Albert_Einstein,3,NULL,196,10628402
Q37079,Tom_Cruise,1,3,113,10582306
Q9439,Queen_Victoria,9,NULL,146,10574061
Q1816737,Robert_Kardashian,4,NULL,27,10545982
Q91,Abraham_Lincoln,4,1,162,10359283
Q91,Abraham_Lincoln,4,4,162,10359283
Q9696,John_F._Kennedy,3,4,175,10340624
Q178903,Alexander_Hamilton,5,8,78,10224990
Q40026,Sylvester_Stallone,5,NULL,172,10078437
Q2036942,Ted_Cruz,NULL,2,53,10074480
Q263696,Debbie_Reynolds,2,NULL,103,9934891
Q37628,Mila_Kunis,1,NULL,67,9668256
Q692,William_Shakespeare,3,NULL,441,9591038
Q2597050,Marla_Maples,1,NULL,19,9481148
Q303,Elvis_Presley,1,NULL,278,9428665
Q8016,Winston_Churchill,5,NULL,174,9368436
Q5284,Bill_Gates,3,NULL,104,9281454
Q207,George_W._Bush,2,2,220,9251561
Q280856,George_VI,2,NULL,90,9166007
Q40572,Heath_Ledger,1,NULL,76,9129419
Q40096,Will_Smith,3,NULL,147,9114967
Q36215,Mark_Zuckerberg,1,NULL,62,9076596
Q11256,Fidel_Castro,2,8,114,9031500
Q313381,Tom_Brady,3,NULL,33,8912093
Q81328,Harrison_Ford,NULL,5,95,8858449
Q35332,Brad_Pitt,6,6,134,8816486
Q16397,Bruce_Lee,2,NULL,126,8770726
Q2263,Tom_Hanks,4,NULL,154,8749312
Q7747,Vladimir_Putin,2,NULL,126,8633907
Q9535,Shah_Rukh_Khan,3,3,162,8500419
Q220556,Brock_Lesnar,NULL,3,25,8459413
Q483118,Ben_Affleck,NULL,3,127,8416075
Q8007,Franklin_D._Roosevelt,5,6,153,8245935
Q816459,Ben_Carson,3,5,61,7941179
Q43203,Clint_Eastwood,5,NULL,233,7905338
Q40912,Frank_Sinatra,3,NULL,258,7861878
Q164119,Mark_Wahlberg,NULL,4,98,7821392
Q12206942,Darth_Vader,2,NULL,35,7779323
Q38370,Henry_VIII_of_England,5,NULL,134,7697952
Q16113908,Blac_Chyna,NULL,2,8,7647584
Q23,George_Washington,2,0,182,7596017
Q178166,Vin_Diesel,NULL,3,89,7569183
Q23505,George_H._W._Bush,5,6,171,7527754
Q23685,Jimmy_Carter,2,4,137,7494437
Q83338,Robin_Williams,1,NULL,160,7397834
Q409,Bob_Marley,8,NULL,115,7394776
Q40715,Jennifer_Lopez,NULL,2,184,7377897
Q54314,Chris_Hemsworth,NULL,3,51,7278289
Q6096,Snoop_Dogg,NULL,3,199,7249136
Q212064,Channing_Tatum,NULL,1,82,7215228
Q342604,Idris_Elba,NULL,0,68,7094355
Q4547,Daniel_Craig,NULL,1,82,7081590
Q36949,Robert_De_Niro,2,6,218,7040836
Q210447,Mark_Hamill,NULL,3,87,6935168
Q1426,Roger_Federer,4,NULL,89,6929206
Q37876,Natalie_Portman,NULL,1,107,6923352
Q483379,Gwen_Stefani,NULL,3,87,6922173
Q9588,Richard_Nixon,2,2,143,6920251
Q8704,Walt_Disney,1,NULL,556,6896556
Q1744,Madonna_(entertainer),4,4,398,6893675
Q1138235,Kris_Jenner,6,NULL,28,6746961
Q103939,Charlie_Sheen,3,5,111,6725488
Q855,Joseph_Stalin,3,NULL,149,6676088
Q33866,Theodore_Roosevelt,6,6,150,6647245
Q41076,Mariah_Carey,NULL,2,197,6630569
Q2695156,Batman,6,NULL,118,6621956
Q5809,Che_Guevara,1,NULL,101,6621138
Q42786,Audrey_Hepburn,NULL,2,108,6613462
Q11975,Britney_Spears,NULL,2,154,6536407
Q392,Bob_Dylan,2,NULL,399,6531525
Q42775,Johnny_Cash,7,NULL,271,6426185
Q188955,Matthew_McConaughey,NULL,3,89,6422930
Q164782,Ashton_Kutcher,NULL,1,78,6396147
Q290856,Amber_Rose,NULL,1,27,6361156
Q1203,John_Lennon,2,NULL,256,6321842
Q7322,Christopher_Columbus,2,NULL,125,6311612
Q517,Napoleon,5,NULL,197,6264762
Q229048,Melissa_McCarthy,NULL,2,54,6249243
Q3752663,Fred_Trump,2,NULL,26,6229316
Q450675,Pope_Francis,NULL,0,94,6201088
Q324546,Marco_Rubio,NULL,4,53,6162035
Q193815,Ryan_Gosling,NULL,1,79,6153785
Q202765,Kate_Winslet,NULL,3,92,6114629
Q9458,Muhammad,7,NULL,101,6109039
Q575689,Kourtney_Kardashian,NULL,3,42,6098182
Q882,Charlie_Chaplin,8,11,476,6089781
Q233748,Akshay_Kumar,NULL,2,151,6078074
Q8409,Alexander_the_Great,1,NULL,125,6075493
Q10520,David_Beckham,4,4,86,6053982
Q8023,Nelson_Mandela,5,NULL,145,5923562
Q58444,Liam_Neeson,NULL,2,125,5900958
Q169946,Kate_Hudson,NULL,2,81,5896722
Q132952,Adam_Sandler,1,2,150,5872236
Q720,Genghis_Khan,14,NULL,109,5863231
Q43432,Justin_Timberlake,1,1,121,5836434
Q9640,Lyndon_B._Johnson,2,2,127,5831057
Q40523,Julia_Roberts,3,NULL,107,5810175
Q40504,Jim_Carrey,2,0,99,5808011
Q13628723,Jared_Kushner,3,3,23,5778609
Q36970,Jackie_Chan,1,NULL,238,5715564
Q293260,Megyn_Kelly,NULL,3,19,5688507
Q43303,Malcolm_X,3,NULL,74,5683878
Q42869,Nicolas_Cage,1,2,147,5672086
Q6279,Joe_Biden,2,4,84,5625118
Q47213,Warren_Buffett,3,NULL,51,5610132
Q179414,Kate_Beckinsale,NULL,1,84,5598698
Q5105,Celine_Dion,1,3,225,5591032
Q11812,Thomas_Jefferson,4,6,156,5554400
Q34969,Benjamin_Franklin,3,NULL,173,5528869
Q104027,Kirk_Douglas,4,NULL,169,5527055
Q29250,Bill_Murray,NULL,6,117,5522873
Q8446,Kurt_Cobain,1,NULL,92,5509694
Q873,Meryl_Streep,4,NULL,142,5497869
Q13133,Michelle_Obama,2,NULL,67,5477333
Q80069,Megan_Fox,2,3,58,5459963
Q42581,Keira_Knightley,NULL,1,88,5458795
Q11637,Judy_Garland,2,NULL,117,5448208
Q315271,Jason_Momoa,1,2,41,5378801
Q395274,Michael_J._Fox,4,4,106,5338863
Q80938,John_Travolta,1,3,125,5317312
Q34424,Shakira,1,2,254,5287143
Q618352,Kevin_Hart,NULL,2,61,5284927
Q23434,Ernest_Hemingway,3,NULL,146,5274607
Q48337,Morgan_Freeman,1,NULL,136,5240198
Q42229,Mel_Gibson,NULL,9,128,5210094
Q6060,50_Cent,NULL,2,188,5200185
Q1048,Julius_Caesar,3,NULL,119,5165760
Q34012,Marlon_Brando,6,NULL,129,5137412
Q34851,Elizabeth_Taylor,2,4,145,5126780
Q8877,Steven_Spielberg,1,6,198,5109828
Q9916,Dwight_D._Eisenhower,2,2,152,5088793
Q56226,Kim_Jong-un,1,NULL,43,5078921
Q481832,Amy_Adams,1,NULL,93,5062389
Q3713655,Donald_Trump_Jr.,5,NULL,28,5048188
Q767499,James_Corden,NULL,2,47,5031316
Q1276,Leonard_Cohen,2,NULL,155,5010344
Q80048,Al_Capone,1,NULL,46,4992733
Q4573,Sean_Connery,1,NULL,141,4975234
Q44063,Reese_Witherspoon,NULL,3,90,4972531
Q235694,Candace_Cameron_Bure,NULL,3,37,4964129
Q58912,Courteney_Cox,NULL,1,69,4946708
Q9488,Sachin_Tendulkar,2,NULL,35,4940176
Q40791,Sandra_Bullock,NULL,1,109,4930874
Q314492,Ragnar_Lodbrok,7,NULL,40,4929239
Q200355,Olivia_Wilde,NULL,1,69,4907712
Q103157,Kurt_Russell,1,NULL,96,4905633
Q121507,Alicia_Keys,NULL,2,121,4894969
Q37459,Nicole_Kidman,2,4,128,4890941
Q264766,Theresa_May,NULL,0,29,4884906
Q9557,Aamir_Khan,NULL,3,116,4884440
Q2599,Paul_McCartney,5,NULL,267,4880742
Q62766,Jay_Z,1,1,198,4858367
Q172044,Jennifer_Garner,NULL,3,78,4853847
Q8743,Thomas_Edison,5,NULL,107,4848111
Q207405,Zsa_Zsa_Gabor,1,NULL,69,4843156
Q359888,Tim_Kaine,NULL,3,30,4815752
Q219631,Adam_Levine,NULL,1,54,4815001
Q40531,John_Wayne,3,NULL,271,4809559
Q676094,Drew_Barrymore,NULL,2,121,4807917
Q1317,Osama_bin_Laden,4,NULL,74,4805306
Q229671,Chelsea_Clinton,NULL,1,32,4801202
Q2514706,Bajirao_I,3,NULL,28,4797889
Q9570,Amitabh_Bachchan,2,NULL,236,4791201
Q269412,George_V,6,NULL,106,4779564
Q42101,Denzel_Washington,1,4,107,4777340
Q5593,Pablo_Picasso,4,NULL,618,4775455
Q8589,Ashoka,5,NULL,63,4774428
Q296505,Rob_Lowe,NULL,2,86,4732826
Q134077,Rachel_Weisz,NULL,1,91,4704414
Q6101,Marco_Polo,1,NULL,72,4690882
Q11817,Andrew_Jackson,3,10,91,4662593
Q165421,Jacqueline_Kennedy_Onassis,3,NULL,79,4658609
Q79037,Spider-Man,1,NULL,37,4657183
Q191719,Zooey_Deschanel,NULL,1,78,4649199
Q219373,Elizabeth_Banks,NULL,2,92,4646871
Q44221,Sean_Penn,2,NULL,118,4635221
Q3785174,Mastani,1,NULL,12,4629468
Q254,Wolfgang_Amadeus_Mozart,2,NULL,575,4623871
Q313039,John_Krasinski,NULL,1,67,4621839
Q229775,Bryce_Dallas_Howard,NULL,2,63,4607849
Q1316,Saddam_Hussein,5,NULL,80,4594940
Q69319,John_Kasich,NULL,2,53,4593693
Q236861,Jodie_Sweetin,NULL,2,22,4574790
Q12908,George_Soros,5,NULL,96,4573209
Q39829,Stephen_King,3,NULL,355,4549961
Q313013,Brian_Wilson,2,NULL,97,4535507
Q221997,Jeb_Bush,3,3,85,4534354
Q310937,Peter_Dinklage,NULL,1,57,4532115
Q9215,Sigmund_Freud,2,NULL,158,4516325
Q10633,Queen_Elizabeth_The_Queen_Mother,2,NULL,77,4503370
Q9441,Gautama_Buddha,1,NULL,65,4500171
Q171571,Hayden_Panettiere,NULL,1,71,4467709
Q272972,Robin_Wright,2,NULL,82,4467536
Q232708,Jenna_Dewan,NULL,1,55,4466587
Q256531,Iman_(model),1,2,56,4464847
Q119798,Michael_Douglas,1,NULL,127,4437425
Q4491,Anna_Faris,NULL,1,64,4427348
Q12003,Cher,2,NULL,161,4407395
Q230203,Amy_Poehler,NULL,2,77,4397279
Q9061,Karl_Marx,4,NULL,200,4321796
Q170572,Alec_Baldwin,1,NULL,136,4307831
Q34389,Whitney_Houston,1,NULL,144,4303924
Q11156,Antonin_Scalia,1,NULL,35,4297844
Q188459,Goldie_Hawn,3,NULL,91,4290465
