Q948032	Hugh VIII of Lusignan	 Guy of Lusignan 
Q11838668	Lillian Lawrence	 Ethel Grey Terry 
Q77267	Johanna von Puttkamer	 Herbert von Bismarck | Wilhelm von Bismarck  
Q4767436	Anna Rice Cooke	 Charles Montague Cooke Jr. | Clarence Hyde Cooke  
Q7346950	Robert Livingston the Elder	 Philip Livingston (1686–1749) | Robert Livingston (1688–1775)  
Q269014	Milkha Singh	 Jeev Milkha Singh 
Q15997615	Harry Diamond (engineer)	 Zelda Fichandler 
Q440604	Shari Lewis	 Mallory Lewis 
Q203165	Alma Reville	 Patricia Hitchcock 
Q321781	Alfred Gwynne Vanderbilt I	 Alfred Gwynne Vanderbilt II | George Washington Vanderbilt III | William Henry Vanderbilt III  
Q253916	Colleen Dewhurst	 Campbell Scott 
Q5488864	Frank Packer	 Clyde Packer | Kerry Packer  
Q158314	Klara Hitler	 Adolf Hitler | Alois Hitler Jr. | Angela Hitler | Hitler family | Paula Hitler  
Q1356333	Ernest Willard Gibson	 Ernest W. Gibson Jr. 
Q45997	Paul Johnson (writer)	 Daniel Johnson (journalist) | Luke Johnson (businessman)  
Q6701100	Luis Sandrini	 Sandra Sandrini 
Q2072769	Ida of Lorraine	 Baldwin I of Jerusalem | Eustace III Count of Boulogne | Godfrey of Bouillon  
Q4115068	Lolo Soetoro	 Barack Obama | Maya Soetoro-Ng  
Q983294	Sadri Maksudi Arsal	 Adile Ayda 
Q6137028	Julius Rosenwald	 Lessing J. Rosenwald | William Rosenwald  
Q238871	Diane Cilento	 Jason Connery 
Q5540465	George Henry Martin Johnson	 Pauline Johnson 
Q6759375	Margaret Eliot	 Jane Asher | Peter Asher  
Q437594	Thomas Bewick	 Jane Bewick 
Q1014586	Benjamin Day (publisher)	 Benjamin Henry Day Jr. 
Q255620	Barbara Hutton	 Lance Reventlow 
Q16007695	Sudhamoy Pramanick	 Diptendu Pramanick 
Q6820890	Mervyn De Silva	 Dayan Jayatilleka 
Q4817451	Atotoztli I	 Acamapichtli 
Q6537484	Lewy Pattinson	 William Frederick Pattinson 
Q4921952	Francis Bowes Sayre Sr.	 Francis Bowes Sayre Jr. Eleanor Sayre and Woodrow Wilson Sayre 
Q28062445	Rajiv Jain	 Abigail Jain 
Q454364	Tammy Faye Messner	 Jay Bakker 
Q5342998	Edward Franklin Albee II	 Reed A. Albee 
Q2700318	Randhir Kapoor	 Kareena Kapoor | Karisma Kapoor  
Q16043515	Robert Wood Johnson I	 John Seward Johnson I | Robert Wood Johnson II  
Q237931	Marie Walewska	 Count Alexandre Joseph Colonna-Walewski 
Q2580098	Nicholas Biddle (banker)	 Charles John Biddle 
Q4201984	Ernest Aldrich Simpson	 Aharon Solomons 
Q299314	Danny Aiello	 Danny Aiello III | Rick Aiello  
